id,sales
3000888,880.8447
3000889,889.4662
3000890,885.5431
3000891,891.1411
3000892,889.2363
3000893,889.0022
3000894,890.438
3000895,888.00024
3000896,884.79297
3000897,880.4783
3000898,879.2517
3000899,880.1948
3000900,361.06503
3000901,540.9534
3000902,519.9956
3000903,535.4004
3000904,520.1365
3000905,534.5935
3000906,513.2313
3000907,531.81396
3000908,510.51486
3000909,512.342
3000910,530.866
3000911,517.67175
3000912,527.2121
3000913,517.7181
3000914,539.16364
3000915,517.76337
3000916,528.2656
3000917,525.0403
3000918,527.97455
3000919,524.40186
3000920,528.967
3000921,522.0286
3000922,529.01196
3000923,527.68976
3000924,527.4343
3000925,530.3126
3000926,529.42474
3000927,532.00696
3000928,528.1064
3000929,524.9587
3000930,524.6532
3000931,518.0958
3000932,526.94684
3000933,493.06027
3000934,495.08566
3000935,444.7463
3000936,472.02872
3000937,458.20694
3000938,470.4377
3000939,466.98935
3000940,469.65292
3000941,468.39297
3000942,455.7888
3000943,484.41812
3000944,478.06882
3000945,476.57388
3000946,469.49057
3000947,488.46262
3000948,484.42892
3000949,483.84988
3000950,487.3768
3000951,488.72067
3000952,490.744
3000953,491.97525
3000954,490.66153
3000955,493.97067
3000956,496.4164
3000957,494.70444
3000958,495.92563
3000959,495.67007
3000960,497.79697
3000961,494.32547
3000962,489.32693
3000963,490.16122
3000964,483.20023
3000965,495.8602
3000966,450.3978
3000967,456.25217
3000968,424.2018
3000969,432.21982
3000970,436.3386
3000971,442.3085
3000972,438.46347
3000973,442.4423
3000974,436.53073
3000975,422.15042
3000976,453.58395
3000977,446.56522
3000978,443.7415
3000979,427.25693
3000980,452.98807
3000981,445.97794
3000982,444.05045
3000983,445.55356
3000984,445.06003
3000985,446.87186
3000986,445.30685
3000987,449.12625
3000988,448.25705
3000989,452.7632
3000990,447.37625
3000991,448.9722
3000992,452.69858
3000993,452.0424
3000994,450.0115
3000995,452.31577
3000996,452.54135
3000997,431.23892
3000998,440.71347
3000999,428.9706
3001000,418.34128
3001001,402.31534
3001002,401.71054
3001003,394.32858
3001004,402.022
3001005,395.9207
3001006,401.68546
3001007,393.43887
3001008,380.2136
3001009,410.03458
3001010,405.23007
3001011,402.1174
3001012,386.20126
3001013,411.86002
3001014,404.75668
3001015,402.9327
3001016,404.269
3001017,405.0621
3001018,405.57596
3001019,403.90115
3001020,407.60794
3001021,407.282
3001022,412.14523
3001023,407.26657
3001024,408.95993
3001025,413.12027
3001026,412.43143
3001027,410.2722
3001028,411.8107
3001029,412.47696
3001030,388.10233
3001031,404.6689
3001032,392.43295
3001033,373.3712
3001034,371.749
3001035,364.80386
3001036,358.26248
3001037,357.13034
3001038,357.5878
3001039,360.5215
3001040,359.72482
3001041,352.8868
3001042,362.1107
3001043,364.07394
3001044,363.3447
3001045,359.96164
3001046,366.84232
3001047,366.91824
3001048,364.57828
3001049,368.23758
3001050,368.17947
3001051,372.79703
3001052,370.77835
3001053,375.87247
3001054,376.76547
3001055,381.9039
3001056,378.16763
3001057,381.38205
3001058,387.6224
3001059,387.18503
3001060,384.11234
3001061,382.24948
3001062,382.78647
3001063,362.3434
3001064,373.09506
3001065,339.60605
3001066,316.96402
3001067,311.41797
3001068,306.60184
3001069,294.65726
3001070,317.69022
3001071,306.38245
3001072,317.0757
3001073,301.043
3001074,290.46835
3001075,321.6984
3001076,318.53424
3001077,316.88007
3001078,301.80017
3001079,327.87704
3001080,318.136
3001081,317.27673
3001082,317.8432
3001083,319.80527
3001084,319.19818
3001085,321.43558
3001086,321.89297
3001087,325.19473
3001088,327.38535
3001089,324.26797
3001090,327.1254
3001091,327.3906
3001092,329.59976
3001093,325.11844
3001094,324.28946
3001095,323.8597
3001096,310.52612
3001097,315.0432
3001098,279.4582
3001099,293.37384
3001100,277.79404
3001101,265.64078
3001102,259.12057
3001103,256.88602
3001104,254.15419
3001105,267.0425
3001106,262.64124
3001107,264.08167
3001108,247.56075
3001109,258.78073
3001110,269.64148
3001111,278.1656
3001112,268.92523
3001113,267.8917
3001114,273.17007
3001115,275.8859
3001116,278.87473
3001117,276.65692
3001118,281.16644
3001119,279.49707
3001120,284.73553
3001121,290.1652
3001122,290.1331
3001123,295.6785
3001124,294.11267
3001125,300.55652
3001126,295.9909
3001127,292.26224
3001128,292.75958
3001129,283.40936
3001130,289.4217
3001131,251.75322
3001132,241.28423
3001133,215.65126
3001134,225.26802
3001135,221.65523
3001136,231.45302
3001137,217.99745
3001138,229.87627
3001139,219.59386
3001140,205.03639
3001141,225.87132
3001142,220.2617
3001143,225.80147
3001144,221.57997
3001145,237.20485
3001146,227.54143
3001147,230.9247
3001148,231.88115
3001149,235.74599
3001150,232.63176
3001151,239.22182
3001152,235.68837
3001153,241.92458
3001154,242.88869
3001155,243.71837
3001156,247.1851
3001157,245.42775
3001158,250.0019
3001159,246.87535
3001160,243.72859
3001161,244.89357
3001162,235.78294
3001163,247.93214
3001164,215.08424
3001165,198.72914
3001166,179.43828
3001167,182.01012
3001168,177.92998
3001169,188.3911
3001170,177.0319
3001171,185.83513
3001172,176.30193
3001173,151.36732
3001174,183.03578
3001175,169.9087
3001176,178.36226
3001177,167.92644
3001178,191.97942
3001179,178.91786
3001180,184.18239
3001181,184.34438
3001182,188.9499
3001183,188.50319
3001184,193.92387
3001185,192.91689
